股票代码,会计年度,接待次数,接待机构数,接待机构人员数,基金管理公司,证券公司,保险资产管理公司,寿险公司,投资公司,资产管理公司,期货经纪公司,其它
200468,2013,0,0,0,0,0,0,0,0,0,0,0
200468,2014,0,0,0,0,0,0,0,0,0,0,0
200468,2015,0,0,0,0,0,0,0,0,0,0,0
200468,2016,0,0,0,0,0,0,0,0,0,0,0
200468,2017,0,0,0,0,0,0,0,0,0,0,0
200468,2018,0,0,0,0,0,0,0,0,0,0,0
200468,2019,0,0,0,0,0,0,0,0,0,0,0
002987,2010,0,0,0,0,0,0,0,0,0,0,0
002987,2011,0,0,0,0,0,0,0,0,0,0,0
002987,2012,0,0,0,0,0,0,0,0,0,0,0
002987,2013,0,0,0,0,0,0,0,0,0,0,0
002987,2014,0,0,0,0,0,0,0,0,0,0,0
002987,2015,0,0,0,0,0,0,0,0,0,0,0
002987,2016,0,0,0,0,0,0,0,0,0,0,0
002987,2017,0,0,0,0,0,0,0,0,0,0,0
002987,2018,0,0,0,0,0,0,0,0,0,0,0
002987,2019,0,0,0,0,0,0,0,0,0,0,0
300071,2010,0,0,0,0,0,0,0,0,0,0,0
300071,2011,0,0,0,0,0,0,0,0,0,0,0
300071,2012,0,0,0,0,0,0,0,0,0,0,0
300071,2013,0,0,0,0,0,0,0,0,0,0,0
300071,2014,0,0,0,0,0,0,0,0,0,0,0
300071,2015,0,0,0,0,0,0,0,0,0,0,0
300071,2016,0,0,0,0,0,0,0,0,0,0,0
300071,2017,0,0,0,0,0,0,0,0,0,0,0
300071,2018,0,0,0,0,0,0,0,0,0,0,0
300071,2019,0,0,0,0,0,0,0,0,0,0,0
300313,2010,0,0,0,0,0,0,0,0,0,0,0
300313,2011,0,0,0,0,0,0,0,0,0,0,0
300313,2012,0,0,0,0,0,0,0,0,0,0,0
300313,2013,0,0,0,0,0,0,0,0,0,0,0
300313,2014,0,0,0,0,0,0,0,0,0,0,0
300313,2015,0,0,0,0,0,0,0,0,0,0,0
300313,2016,0,0,0,0,0,0,0,0,0,0,0
300313,2017,0,0,0,0,0,0,0,0,0,0,0
300313,2018,0,0,0,0,0,0,0,0,0,0,0
300313,2019,0,0,0,0,0,0,0,0,0,0,0
300626,2010,0,0,0,0,0,0,0,0,0,0,0
300626,2011,0,0,0,0,0,0,0,0,0,0,0
300626,2012,0,0,0,0,0,0,0,0,0,0,0
300626,2013,0,0,0,0,0,0,0,0,0,0,0
300626,2014,0,0,0,0,0,0,0,0,0,0,0
300626,2015,0,0,0,0,0,0,0,0,0,0,0
300626,2016,0,0,0,0,0,0,0,0,0,0,0
300626,2017,0,0,0,0,0,0,0,0,0,0,0
300626,2018,0,0,0,0,0,0,0,0,0,0,0
300626,2019,0,0,0,0,0,0,0,0,0,0,0
002533,2010,0,0,0,0,0,0,0,0,0,0,0
002533,2011,0,0,0,0,0,0,0,0,0,0,0
002533,2012,0,0,0,0,0,0,0,0,0,0,0
002533,2013,0,0,0,0,0,0,0,0,0,0,0
002533,2014,0,0,0,0,0,0,0,0,0,0,0
002533,2015,0,0,0,0,0,0,0,0,0,0,0
002533,2016,0,0,0,0,0,0,0,0,0,0,0
002533,2017,0,0,0,0,0,0,0,0,0,0,0
002533,2018,1,6,8,0,1,0,0,1,0,1,2
002533,2019,0,0,0,0,0,0,0,0,0,0,0
300547,2010,0,0,0,0,0,0,0,0,0,0,0
300547,2011,0,0,0,0,0,0,0,0,0,0,0
300547,2012,0,0,0,0,0,0,0,0,0,0,0
300547,2013,0,0,0,0,0,0,0,0,0,0,0
300547,2014,0,0,0,0,0,0,0,0,0,0,0
300547,2015,0,0,0,0,0,0,0,0,0,0,0
300547,2016,0,0,0,0,0,0,0,0,0,0,0
300547,2017,0,0,0,0,0,0,0,0,0,0,0
300547,2018,0,0,0,0,0,0,0,0,0,0,0
